text,label
언니 동생 으로 부르 는 게 맞 는 일 인가요,fear
그냥 내 느낌 일 뿐 겠 지,fear
아직 너무 초기 라서 그런 거 죠,fear
유치원 버스 사고 낫 다던데,fear
근데 원래 이런 거 맞 나요,fear
남자 친구 가 떠날까 봐요,fear
이거 했 는데 허리 가 아플 수 도 있 나요,fear
내 가 불안 해서 꾸 는 걸까,fear
일 주일 도 안 남 았 당 ㅠㅠ,fear
약 은 최대한 안 먹 으려고 하 는 데 좋 은 음시 있 나요,fear
구직 활동 하 면서 남 는 시간 은 뭘로 활용 해야 되 지,fear
괜찮 은 분 같 아서 괜히 조급 해 지 네요 ㅜ,fear
제 가 스타일 을 바꾸 면 더 어색 하 게 만 변할 것 같 아서 ㅠ,fear
아내 있 으면 여자 있 는 술집 가 면 법 적 으로 문제 있 나요,fear
한 소리 들 을지 도와 주 세요,fear
도와 주 실 분 없 나요,fear
그냥 잡다 한 거 말 고 학업 에 관련 된 거 듣 는 게 더 좋 은 가요,fear
가격 은 반값 이거 질 이 다른 건가요,fear
마지막 에 말씀 드렸 던 대로 글 은 이제 내릴게요 의도 치 않 게 실시간 베스트 글 에 올라가 서 남친 이 볼 거 같 아서 요 ㅠㅠ,fear
화장품 회사 다 보 니 젊 은 여자 들 이 많 은 거 같 은데 걱정 이 네요,fear
몸무게 키로 찌 는 건 아니 겠 죠,fear
o 자 다리 많이 심한 가요,fear
안 하 는 게 나 을까요,fear
그 정도 로 더러운 가요,fear
보통 가진 통도 이렇게 오래가 나요,fear
여자 가 술 취해서 먼저 전화 하 는 거 짜증 나 요,fear
걱정 이 큽니다,fear
이거 무슨 증상 이 죠 ㅜㅜ,fear
다름 아니 라 제 동생 걱정 입니다,fear
아무래도 무리 겠 죠,fear
애인 으로써 정말 걱정 됩니다,fear
이러다 일 주일 전 에 나오 는 거 아닌가 몰라요,fear
경고 먹 을까 고민,fear
극도 로 예민 하 고 불안 한 상태 에 요,fear
못 받 으면 어떡 하 죠,fear
안검 하수 도 어울릴까 요,fear
근데 그게 사마귀 일 수 있 데요,fear
이제 곧 내년 이 면 살인 여대생 입니다 요즘 고민 이 있 는데요,fear
안 하 는 게 좋 은 가요,fear
자제 할 수 있 는 방법 뭐 없 을까요,fear
집 에 와서 또 운동 하 긴 했 는데 지난 주 의 노력 이 물거품 이 될까 봐 정말 걱정 되 요,fear
옳 은 선택 인지 모르 겠 음,fear
월 이 면 둘째 가 태어나 서 마음 이 더 조급 한 것 같 아요 ㅠㅠ,fear
엄마 한테 는 친구 랑 보 러 간다 하 는데 안 들키 겠 지,fear
내 가 구글 폰 계정 에 동기 화 를 안 한 거 같 은 데 어쩌 죠,fear
아니면 더 빼 야 하나 요,fear
물 을 안 먹 어서 그러 나,fear
찾아가 는 게 나 을까요,fear
제 가 너무 깊이 들어가 는 건가요,fear
알 수 있 는 방법 없 음,fear
어디 다가 짱박 으면 좋 을까요,fear
첫날 안 가 서 왠지 아싸리 아 싸가 될 꺼 같 은 기분,fear
딱 주일 뒤 에 군대 에 들어가 게 되 는데,fear
방법 이 없 을까요,neutralism
할지 말 지 고민 이 네요,fear
검색 해 보 니까 행동 발달 장애 를 가져올 수 있 다는데,fear
이게 맞 는 방법 인가요,fear
아 정말 어떻게 해야 되 죠,fear
혼자 웃 다가 울 다가 조울증 인가 싶 기 두 해 여,fear
월 욜 날 연락 주 신댔는데 지금 불안 해서 미치 겠 어요 ㅜㅜ,fear
왠지 오늘 은 분 늦 게 올꺼 같 은디,fear
사진 많이 크 나요,fear
이거 안 좋 은 거 아니 예요,fear
나 오늘 전달 받 은 거 없 는데 퇴근 시간 분 넘 고 불안 하 다,fear
근육 이 붙 진 않 겠 죠 ㅠ,fear
방법 을 잘 모르 겠 네요,fear
너무 많이 하 는 거 죠,fear
뭘 해야 할지 모르 겠 네요,fear
어깨 때문 인가,fear
걱정 되 서 잠 이 안 와요,fear
예정일 이 보름 이나 지나 도 생리 를 안 해요,fear
시험 이 남 았 는데 과목 한 개 도 못 끝냈 네,fear
앞 으로 이 남자 가 제 편 이 되 어 줄 지도 의 문 이 네요,fear
저 떨어진 건가요,fear
저 이제 어떡 하 죠,fear
어휴 어떻게 처리 하 죠,fear
지금 대 초반 인데 혹시 재발 확률 있 는지,fear
미래 에 대대 는 어떻게 해야 햐 나 싶 기 도 하 고 그렇 네요,fear
어떻게 되 는지 걱정 되 서 그러 는데 답 좀 부탁 드리 겠 습니다,fear
투 잡 을 해야 하나,fear
믿 을 만 한 건지 요,fear
애기 는 잘 있 나,fear
그냥 화 가 나 서 연락 을 안 하 는 걸까요,fear
보증금 도 있 을까 말 까 입니다,fear
여자 친구 가 오빠 가 명다 오 신다는 데 긴장 되 네요,fear
어른 들 은 변 을 보 시 더니 아이 가 분유 를 소화 를 못 시키 는 거 라구 하 시 네여,fear
지금 핫 팩 을 좀 보내 주 고 싶 은데 괜히 눈치 보이 지 않 을까요,fear
이거 성격 장애 아닌가요,fear
종아리 두꺼워 지 려나 ㅠ,fear
어떻게 할 방법 이 없 을까요,fear
막 매출 이 막 떨어질 것 같 음,fear
출산 경험 있 으신 분 들 좀 알려 주 세요 ㅠ,fear
정적 흐를 땐 어떻 게 하 시 나요,fear
내 가 잘 말 한 걸까,fear
안 올 것 같 기 도 하 고 주위 에서 세상 에 남자 는 많 다 라고 하 는데 제 몸 하나 쓰 담 어 주 는 남자 는 다신 안 나타날 것 같 은 불안 하 고 하 네요,fear
제 가 알 바 자체 가 처음 이 라,fear
저녁 늦 게 천둥 이 치 는데 방 이 흔들리 는 것 을 느꼈 어요,fear
많이 걱정 돼요 ㅠㅠ,fear
애 들 진짜 못 키우 는데,fear
모기 매트 는 안전 한 가요 옥시 때문 에 의심 이 늘 어서,fear
노트 쓰 고 있 는 사람 들 은 우짜 노 나 도 쓰 는데 불안 불안,fear
점점 추워 진다는 게 걱정 이 네,fear
중국 에서 한반도 로 독가스 를 자꾸 보내 고 있 는 데 이러 다가 멸망 하 는 것 은 아닐까 싶 다,fear
이제 앞 으로 더 이러 한 현상 들 이 심해질 걸요,fear
이슬람 계 는 절대 절대 받 지 말 아야,fear
어떻게 키우 면 집고양이 가 길고양이 랑 새끼 를 낳 아,fear
골키퍼 가 젤 불안,fear
이러 다가 다른 나라 에서 명예 회복 해 달 라고 국제 소송 거 는 거 아닌가,fear
저렇게 맨 손 으로 만져도 되 나,fear
사진 사냥개 도 있 네 저러 다 늑대개 로 돌변 하 면 우짤 라꼬,fear
허걱 배달 되 는 오븐 스파게티 거의 다 저 용기 던데,fear
특히 이 분야 는 선점 효과 가 너무 큼 실패 할 가능 성 이 높 다,fear
에프엑스 도 요즘 불안 한데,fear
이성우 때문 에 지 겠 다,fear
아 차원 롤러 코스트 진짜 무섭 겠 다,fear
대신 에 기형아 의 가능 성 이 엄청 높 아 진다,fear
우리 의 미래 가 걱정 된다,fear
진짜 떨린다,fear
순순히 바꿔 준 다니 몬 가 찝찝 하 기 도 하 네,fear
미국 시민 들 불안 해서 어떻게 살 아 ㄷ ㄷ,fear
여긴 창원 마산 강풍 이 심해서 어떻게 될지 걱정 이 다,fear
필리핀 가 려면 죽 을 각오 해야 하 네요,fear
눈알 파 갈라 ㅎ ㄷ ㄷ ㄷ ㄷ ㄷ,fear
선발 진 은 여전히 불안 불안 하 네,fear
저 스모그 가 우리 나라 로 넘어오 는 게 문제 인 거 지 ㅠ,fear
폭발물 소지 금지 해야지,fear
갤 노트 폭탄,fear
고속 충전 하 면 너무 뜨거워 뭔일 날 줄 알 았 다,fear
노트 가지 고 타 면 테러 범 으로 몰리 는 건가,fear
문제 있 는 거 아니 냐,fear
시리아 랑 비기 는 거 보고 불안 함 ㅠㅠ,fear
생초 보라 걱정 입니다,fear
준비 시간 이 줄어들 어 졸작 이 되 진 않 을까요,fear
갑자기 불안 하 네요,fear
진심 불 날까봐 걱정 되 서 그런다,fear
용인 경전철 꼴 나 는 거 아닌지요,fear
만약 에 하나 라도 지구 가 시간 변화 에 따라 기후 가 변하 는 거 면 어떡 할 것 인가,fear
거리 에 다니 면서 할 확률 이상 위험 하 다,fear
삼성 의 앞날 이 걱정 이 다,fear
또 한 번 imf 사태 가 올 것 같 아,fear
시리아 수비 도 못 뚫 는데 월드컵 에서 잘 할 수 있 을까,fear
태풍 오 면 울산 처럼 된다,fear
기계 가 사람 을 지배 하 는 날 이 얼마 안 남 았 다,fear
외계인 이 있 는데 괜찮 을까,fear
우리 와이프 가 저리 살 아 보 구 싶 다 할까봐요,fear
누가 사 는 데 만 에 하나 구 글 이 소프트웨어 지원 끊 으면,fear
저차 위험 하 다,fear
저 도로 범죄 일어나 기 좋 을 듯,fear
혹시 설날 서빙 할 때 손 님 많이 올까 염,fear
나이 만 먹 어 가 고 이러 다 결혼 못 하 고 죽 는 거 아닌지 ㅋㅋ,fear
근데 여자 친구 가 너무 걱정 되 네요,fear
제 가 못 해도 중상 위 권 을 맴도 는데 성적 이 자꾸 떨어져서,fear
그날 에 해도 되 나요,fear
유지 할 수 있 을까요,fear
한 번 먹일 거 만 조금 남 아 있 는데 어떡 하 죠,fear
남자 친구 는 공기업 다니 고 살 이 고 저 는 항상 불안 해요,fear
엄마 아빠 가 이해 해 주 실까요,fear
저 일 할 곳 이 세븐 본점 인데 좀 큰 데 많이 어려울 까요 ㅠㅠ,fear
수강 신청 하 는 거 많이 힘들 까요,fear
이해 를 해 줘야 되 는데 너무 불안 해요,fear
평소 관리 만 잘 하 면 나아질 수 있 는 건지,fear
좀 텃세 나 끼리끼리 노 는 거 있 나요,fear
제 가 언제 까지 이 일 을 하 면 될까요,fear
기다리 고 노력 하 면 저 만 상처 받 겠 죠,fear
내 꾸 나 휴가 다 놀 고 전화 가 안 와요,fear
v 엔진 이 라 불안 해 서리,fear
감기 오래 가 면 안 좋 은 경우 인가요,fear
최저임금 도 안 주 면 어 케 해야 되 죠,fear
이거 더 안 좋 아 지 는 증상 인가요,fear
뭐 대처 법 은 없 을까요 부탁 이 에요,fear
내 사진 으로 프 사 를 해 놨는데 바람 같 은 거 안 피 겠 죠 ㅠㅠ,fear
남친 이 중간 에 뺐 을까 봐 좀 걱정 이 되 네요,fear
막 차별 하 고 그러 나요,fear
아직 주도 안 됫는데 벌써 부터 증상 들 이 나타날 수 있 는 건가요,fear
또 어떻게 다시 시작 해야 할지 막막 하 기 만 합니다 ㅠ,fear
열나 는 건 언제 까지 일까요,fear
내일 또 연락 오 면 어떻게 하 죠,fear
기록 같 은 게 남 나,fear
다시 돈 뺄 수 도 없 고 이 놈 안 오 면 어쩌 지,fear
빨간 점 이 난 거 이 건 여드름 흉터 아니 죠,fear
정말 불안 하 고 떨려서 아무것 도 못하 겠 어요,fear
근데 정보 가 많 진 않 으니 선뜻 지원 하 기 가 쉽 지 않 네요,fear
남자 친구 가 가끔 동영상 찍 거든요,fear
제 가 하 기 엔 너무 힘들 까요,fear
년 제 대학 졸업장 만 으로 취직 이 될까요,fear
너무 부담 이 되 네요,fear
입사 해도 괜찮 을까요,fear
신체 검사 할 때 혈압 약 먹 어도 이상 없 는 걸까요,fear
군대 가 면 남자 들 은 맘 변한다고 그러 는데 진짜 인가요,fear
이런 문제 어디 에 물어봐야 되 나요,fear
피부과 를 가 봐야 할까요,fear
아가 가 자꾸 크 면 자연 분 만 힘들 어 지나 요,fear
이거 불법 인가요,fear
남자 들 결혼 하 면 아내 몰래 바람 도 피우 고 그러 나요,fear
벗어날 방법 이 있 을 런지 요,fear
곧 헤어질 거 라는 생각 에 연애 가 늘 조마조마 해요,fear
크 게 다친 건 아니 죠,fear
다시 일 시작 하 면 잘 할 수 있 을까요,fear
어제 가 배란 일 가 임기 덴 무서워 죽 겟 네요 토요일 새벽 에 관계 는 가 졋습니다 안심 해도 될까요,fear
하루하루 불안 함 을 안 고 사 네요,fear
